duration,date,pulse,maxpulse,calories
60,1/1/2023,72,85,250
45,1/1/2023,68,80,
,1/2/2023,75,88,280
65,1/3/2023,70,,320
50,1/3/2023,,,240
55,1/4/2023,72,85,250
72,1/5/2023,80,95,350
45,1/5/2023,68,80,
60,1/6/2023,75,88,280
65,1/7/2023,70,82,320
50,1/7/2023,82,100,400
55,1/8/2023,72,85,250
72,1/9/2023,80,95,350
45,1/10/2023,68,80,220
60,1/10/2023,75,88,280
65,1/11/2023,70,82,320
50,1/12/2023,,92,400
55,1/12/2023,72,85,250
72,1/13/2023,80,95,350
45,1/14/2023,68,80,220
60,1/14/2023,75,88,280
65,1/15/2023,70,82,320
50,1/16/2023,82,100,
55,1/16/2023,72,85,250
72,1/17/2023,80,95,350
45,1/18/2023,,80,220
60,1/18/2023,75,88,280
65,1/19/2023,70,82,320
50,1/20/2023,82,100,400
55,1/20/2023,72,85,250
72,1/21/2023,80,95,350
45,1/22/2023,68,,220
60,1/22/2023,75,88,280
65,1/23/2023,-70,82,320
50,1/24/2023,82,100,400
55,1/24/2023,72,85,250
72,1/25/2023,80,95,350
45,1/26/2023,68,80,220
60,1/26/2023,75,88,
65,1/27/2023,70,82,320
50,1/28/2023,82,100,400
55,1/28/2023,72,85,250
72,1/29/2023,80,95,350
45,1/30/2023,68,80,220
60,1/30/2023,75,88,280
65,1/31/2023,70,82,320
50,1/31/2023,82,100,400
55,1/1/2023,72,85,250
72,2/2/2023,80,95,350
45,2/3/2023,,80,220
60,1/3/2023,75,88,280
65,2/5/2023,70,82,320
50,2/6/2023,82,100,
55,1/6/2023,72,85,250
72,2/8/2023,80,95,350
45,2/9/2023,68,80,220
60,1/9/2023,75,88,280
65,2/11/2023,70,82,320
50,2/12/2023,82,100,400
55,1/12/2023,72,85,250
72,2/14/2023,80,95,350
45,2/15/2023,68,,220
60,1/15/2023,75,88,280
65,2/17/2023,70,82,320
50,2/18/2023,-82,100,400
55,1/18/2023,72,85,250
72,2/20/2023,80,95,350
45,2/21/2023,68,80,220
60,1/21/2023,75,88,
,2/23/2023,70,82,320
50,2/24/2023,82,100,400
55,1/24/2023,72,85,250
72,2/26/2023,80,95,350
45,2/27/2023,68,80,220
60,1/27/2023,,88,280
65,3/1/2023,70,82,320
50,3/2/2023,82,100,400
55,1/2/2023,72,85,250
72,3/4/2023,80,95,350
45,3/5/2023,,80,220
60,1/5/2023,75,88,280
65,3/7/2023,,82,320
50,3/8/2023,82,100,400
55,1/8/2023,72,85,250
72,3/10/2023,80,95,350
45,3/11/2023,68,80,220
60,1/11/2023,75,88,280
65,3/13/2023,70,-82,320
50,3/14/2023,82,100,
55,1/14/2023,72,85,250
72,3/16/2023,80,95,350
45,3/17/2023,68,80,220
60,1/17/2023,75,88,280
65,3/19/2023,70,82,320
50,3/20/2023,82,100,400
55,1/20/2023,72,85,250
72,3/22/2023,80,95,350
45,3/23/2023,68,,220
,1/23/2023,75,88,280
65,3/25/2023,70,82,320
50,3/26/2023,82,100,400
55,1/26/2023,72,85,
72,3/28/2023,80,95,350
45,3/29/2023,68,80,220
60,1/29/2023,75,88,280
65,3/31/2023,70,82,320
50,4/1/2023,82,100,400
55,1/1/2023,72,85,250
72,4/3/2023,80,95,350
45,4/4/2023,68,80,220
60,1/4/2023,75,88,280
65,4/6/2023,70,82,320
50,4/7/2023,82,100,400
55,1/7/2023,72,85,250
72,4/9/2023,80,95,350
45,4/10/2023,68,,220
60,1/10/2023,75,88,280
65,4/12/2023,70,82,320
50,4/13/2023,82,999,400
55,1/13/2023,72,85,250
72,4/15/2023,80,95,350
45,4/16/2023,,80,220
60,1/16/2023,75,88,280
65,4/18/2023,70,82,320
50,4/19/2023,82,100,
55,1/19/2023,72,85,250
72,4/21/2023,80,95,350
45,4/22/2023,68,80,220
,1/22/2023,75,88,280
65,4/24/2023,999,82,320
50,4/25/2023,82,100,400
55,1/25/2023,72,85,250
72,4/27/2023,80,95,350
45,4/28/2023,68,80,-150
60,1/28/2023,75,88,280
65,4/30/2023,70,82,320
