Duration,Pulse,Maxpulse,Calories
96,67,123,581.6
50,75,148,332.0
109,66,189,1301.7
90,87,124,286.0
26,73,149,211.6
92,61,191,1171.0
106,94,173,815.4
72,97,155,367.6
112,70,174,1157.8
50,69,147,437.0
58,66,131,375.0
27,82,164,248.4
48,62,178,574.8
30,84,130,158.0
52,100,199,510.8
88,72,128,447.8
99,74,157,781.7
44,66,168,433.8
73,100,166,451.8
62,82,146,431.8
49,64,197,682.7
36,94,151,175.2
74,84,154,549.0
103,95,148,582.9
56,63,149,435.6
118,80,171,1057.8
23,73,192,314.7
55,73,183,605.0
97,89,138,458.3
32,75,191,389.2
48,97,174,393.6
66,83,148,396.0
80,91,131,366.0
21,67,139,181.2
35,87,196,339.5
64,84,196,725.8
82,76,190,885.8
102,67,188,1280.2
49,81,134,246.7
70,70,178,706.0
107,76,184,1202.6
37,92,133,181.7
53,100,184,472.2
40,69,167,439.0
35,94,187,275.5
91,80,182,880.2
29,83,159,200.4
22,75,192,217.4
25,91,128,139.5
83,68,136,598.4
75,95,141,328.0
82,98,174,600.2
84,72,159,731.8
100,83,176,946.0
72,67,151,582.8
23,81,122,119.3
85,74,195,1006.5
15,64,200,161.0
44,64,124,256.0
24,92,150,124.2
100,91,147,579.0
31,96,193,310.7
46,90,172,351.2
27,66,175,289.3
69,86,179,684.7
21,66,127,129.1
108,81,133,542.6
39,72,188,459.4
32,87,143,164.2
74,75,129,405.6
118,95,132,392.6
98,94,121,225.6
111,75,141,734.6
77,90,147,439.9
22,70,168,165.6
64,76,178,638.8
69,95,182,569.3
39,78,147,226.1
89,94,127,338.7
55,63,126,370.5
76,92,187,692.0
22,92,130,56.6
23,98,128,105.0
45,85,135,247.0
46,97,196,410.4
94,65,173,1049.2
89,96,186,791.0
48,73,160,397.6
48,85,136,279.8
97,79,178,950.3
111,64,121,640.7
94,96,132,297.4
83,73,184,904.3
31,82,128,123.6
62,78,140,390.4
84,79,198,1032.6
82,60,190,1054.0
99,66,137,685.9
29,66,190,328.6
49,78,197,559.1
