Post_ID,Platform,Post_Type,Date,Likes,Engagement_Score
POST0001,YouTube,Image,2025-01-13,12199,14075
POST0002,Twitter,Video,2025-02-22,11137,13636
POST0003,LinkedIn,Text,2025-01-17,538,566
POST0004,Twitter,Reel,2025-11-05,484,572
POST0005,YouTube,Story,2025-12-26,8978,10172
POST0006,TikTok,Reel,2025-05-23,13311,13826
POST0007,YouTube,Text,2025-06-24,4602,4925
POST0008,Facebook,Image,2025-02-17,6274,7021
POST0009,Facebook,Reel,2025-05-16,13273,14859
POST0010,LinkedIn,Image,2025-07-13,1341,1629
POST0011,LinkedIn,Video,2025-12-27,1189,1325
POST0012,Twitter,Carousel,2025-02-10,14063,15324
POST0013,TikTok,Carousel,2025-08-21,10465,12457
POST0014,Facebook,Carousel,2025-04-18,11030,12341
POST0015,LinkedIn,Story,2025-03-29,8801,10668
POST0016,Twitter,Text,2025-07-14,4472,5654
POST0017,LinkedIn,Video,2025-12-17,5363,5828
POST0018,Instagram,Carousel,2025-07-25,4436,4664
POST0019,LinkedIn,Story,2025-06-11,3533,4584
POST0020,TikTok,Story,2025-08-23,2390,2575
POST0021,Twitter,Story,2025-10-15,8880,10564
POST0022,LinkedIn,Text,2025-10-26,6593,7669
POST0023,Twitter,Reel,2025-09-10,1539,1605
POST0024,Twitter,Story,2025-03-23,13027,16585
POST0025,Instagram,Text,2025-07-15,9813,11581
POST0026,Facebook,Reel,2025-01-06,11195,13310
POST0027,Facebook,Story,2025-06-24,1877,2192
POST0028,Twitter,Text,2025-01-02,11880,14494
POST0029,Twitter,Reel,2025-02-24,14312,17787
POST0030,YouTube,Reel,2025-11-08,3308,3749
POST0031,Twitter,Reel,2025-09-29,59,83
POST0032,TikTok,Image,2025-02-27,5997,6991
POST0033,Instagram,Video,2025-10-18,1340,1568
POST0034,Instagram,Reel,2025-03-06,2153,2669
POST0035,LinkedIn,Video,2025-05-16,8695,10585
POST0036,Twitter,Reel,2025-12-20,3345,3969
POST0037,YouTube,Story,2025-07-11,7227,8978
POST0038,Instagram,Video,2025-04-26,1099,1188
POST0039,LinkedIn,Reel,2025-04-28,9691,10150
POST0040,Instagram,Story,2025-11-20,1014,1084
POST0041,Instagram,Carousel,2025-02-06,8473,9385
POST0042,YouTube,Text,2025-04-20,8884,10264
POST0043,LinkedIn,Reel,2025-08-31,4031,5196
POST0044,TikTok,Video,2025-02-18,1638,2139
POST0045,Facebook,Text,2025-07-30,7701,9274
POST0046,YouTube,Story,2025-11-27,1662,1845
POST0047,YouTube,Carousel,2025-02-25,4123,4463
POST0048,LinkedIn,Text,2025-03-13,6962,7762
POST0049,TikTok,Video,2025-02-08,7310,8586
POST0050,Instagram,Story,2025-10-04,13747,14092
POST0051,Twitter,Video,2025-07-28,8006,9317
POST0052,TikTok,Image,2025-03-26,6259,6860
POST0053,Facebook,Text,2025-05-27,6980,9132
POST0054,YouTube,Text,2025-03-21,3161,3628
